x_epoch,id,rt,pd,lat,lon
1536223383,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223393,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223403,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223413,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223423,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223433,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223443,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223453,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223463,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223473,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223483,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223493,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223503,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223513,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223523,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223533,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223543,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223553,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223564,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223574,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223584,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223594,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223604,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223614,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223624,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223634,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223644,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223654,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223664,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223674,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223684,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223694,401,1C,"South Bound",37.605323791503906,-77.45025634765625
1536223704,401,1C,"South Bound",37.60443115234375,-77.45049285888672
1536223714,401,1C,"South Bound",37.60443115234375,-77.45049285888672
1536223724,401,1C,"South Bound",37.60443115234375,-77.45049285888672
1536223734,401,1C,"South Bound",37.60443115234375,-77.45049285888672
1536223744,401,1C,"South Bound",37.60443115234375,-77.45049285888672
1536223754,401,1C,"South Bound",37.60443115234375,-77.45049285888672
1536223764,401,1C,"South Bound",37.60443115234375,-77.45049285888672
1536223774,401,1C,"South Bound",37.60443115234375,-77.45049285888672
1536223784,401,1C,"South Bound",37.60443115234375,-77.45049285888672
1536223794,401,1C,"South Bound",37.60443115234375,-77.45049285888672
1536223804,401,1C,"South Bound",37.60163879394531,-77.45027160644531
1536223814,401,1C,"South Bound",37.600868225097656,-77.45014190673828
1536223824,401,1C,"South Bound",37.600868225097656,-77.45014190673828
1536223834,401,1C,"South Bound",37.59894943237305,-77.44986724853516
1536223844,401,1C,"South Bound",37.59894943237305,-77.44986724853516
1536223854,401,1C,"South Bound",37.59894943237305,-77.44986724853516
1536223864,401,1C,"South Bound",37.59658432006836,-77.44945526123047
1536223874,401,1C,"South Bound",37.59658432006836,-77.44945526123047
1536223884,401,1C,"South Bound",37.59658432006836,-77.44945526123047
1536223894,401,1C,"South Bound",37.59658432006836,-77.44945526123047
1536223904,401,1C,"South Bound",37.593360900878906,-77.44892120361328
1536223914,401,1C,"South Bound",37.593143463134766,-77.44888305664062
1536223924,401,1C,"South Bound",37.593143463134766,-77.44888305664062
1536223934,401,1C,"South Bound",37.5908203125,-77.44847106933594
1536223944,401,1C,"South Bound",37.5908203125,-77.44847106933594
1536223954,401,1C,"South Bound",37.5908203125,-77.44847106933594
1536223964,401,1C,"South Bound",37.5908203125,-77.44847106933594
1536223974,401,1C,"South Bound",37.58848571777344,-77.44807434082031
1536223984,401,1C,"South Bound",37.58848571777344,-77.44807434082031
1536223994,401,1C,"South Bound",37.58848571777344,-77.44807434082031
1536224004,401,1C,"South Bound",37.58848571777344,-77.44807434082031
1536224014,401,1C,"South Bound",37.58848571777344,-77.44807434082031
1536224024,401,1C,"South Bound",37.58848571777344,-77.44807434082031
1536224034,401,1C,"South Bound",37.58783303537676,-77.44796765235162
1536224044,401,1C,"South Bound",37.58783303537676,-77.44796765235162
1536224054,401,1C,"South Bound",37.58783303537676,-77.44796765235162
1536224064,401,1C,"South Bound",37.5850675782161,-77.447515459203
1536224074,401,1C,"South Bound",37.5850675782161,-77.447515459203
1536224084,401,1C,"South Bound",37.5850675782161,-77.447515459203
1536224094,401,1C,"South Bound",37.5850675782161,-77.447515459203
1536224104,401,1C,"South Bound",37.5850675782161,-77.447515459203
1536224114,401,1C,"South Bound",37.5850675782161,-77.447515459203
1536224124,401,1C,"South Bound",37.5850675782161,-77.447515459203
1536224134,401,1C,"South Bound",37.5850675782161,-77.447515459203
1536224144,401,1C,"South Bound",37.5850675782161,-77.447515459203
1536224154,401,1C,"South Bound",37.5850675782161,-77.447515459203
1536224164,401,1C,"South Bound",37.58421325683594,-77.44737243652344
1536224174,401,1C,"South Bound",37.58421325683594,-77.44737243652344
1536224184,401,1C,"South Bound",37.58411704792696,-77.44735672894646
1536224194,401,1C,"South Bound",37.58411704792696,-77.44735672894646
1536224204,401,1C,"South Bound",37.58411704792696,-77.44735672894646
1536224214,401,1C,"South Bound",37.58411704792696,-77.44735672894646
