x_epoch,id,pd,lat,lon
1533807006,2009,East Bound,37.5845794677734,-77.4972534179688
1533807016,2009,East Bound,37.5845794677734,-77.4972534179688
1533807026,2009,East Bound,37.5845794677734,-77.4972534179688
1533807036,2009,East Bound,37.5845576359675,-77.4972224308894
1533807046,2009,East Bound,37.5845576359675,-77.4972224308894
1533807056,2009,East Bound,37.5840606689453,-77.4965667724609
1533807066,2009,East Bound,37.5840606689453,-77.4965667724609
1533807076,2009,East Bound,37.5840606689453,-77.4965667724609
1533807086,2009,East Bound,37.5817640011127,-77.4937215951773
1533807096,2009,East Bound,37.5817640011127,-77.4937215951773
1533807106,2009,East Bound,37.5817640011127,-77.4937215951773
1533807116,2009,East Bound,37.5817640011127,-77.4937215951773
1533807126,2009,East Bound,37.5817640011127,-77.4937215951773
1533807136,2009,East Bound,37.5817640011127,-77.4937215951773
1533807146,2009,East Bound,37.5797955599698,-77.491337446733
1533807156,2009,East Bound,37.5797955599698,-77.491337446733
1533807166,2009,East Bound,37.5794602614183,-77.4909380399264
1533807176,2009,East Bound,37.5794602614183,-77.4909380399264
1533807186,2009,East Bound,37.5794602614183,-77.4909380399264
1533807196,2009,East Bound,37.5794602614183,-77.4909380399264
1533807206,2009,East Bound,37.5747377146845,-77.485206382862
1533807216,2009,East Bound,37.5747377146845,-77.485206382862
1533807226,2009,East Bound,37.5747377146845,-77.485206382862
1533807236,2009,East Bound,37.5747377146845,-77.485206382862
1533807246,2009,East Bound,37.5747377146845,-77.485206382862
1533807256,2009,East Bound,37.5747377146845,-77.485206382862
1533807266,2009,East Bound,37.5701566732155,-77.4797350325674
1533807276,2009,East Bound,37.5701566732155,-77.4797350325674
1533807286,2009,East Bound,37.5701566732155,-77.4797350325674
1533807296,2009,East Bound,37.5701566732155,-77.4797350325674
1533807306,2009,East Bound,37.5701566732155,-77.4797350325674
1533807316,2009,East Bound,37.5701566732155,-77.4797350325674
1533807326,2009,East Bound,37.5667939186096,-77.4757699966431
1533807336,2009,East Bound,37.5667939186096,-77.4757699966431
1533807346,2009,East Bound,37.5667939186096,-77.4757699966431
1533807356,2009,East Bound,37.5667939186096,-77.4757699966431
1533807366,2009,East Bound,37.5667939186096,-77.4757699966431
1533807376,2009,East Bound,37.5667939186096,-77.4757699966431
1533807386,2009,East Bound,37.5652953438137,-77.473921402641
1533807396,2009,East Bound,37.5651911808894,-77.4738511305589
1533807406,2009,East Bound,37.5651911808894,-77.4738511305589
1533807416,2009,East Bound,37.5651911808894,-77.4738511305589
1533807426,2009,East Bound,37.5651911808894,-77.4738511305589
1533807436,2009,East Bound,37.5651911808894,-77.4738511305589
1533807447,2009,East Bound,37.5629840177648,-77.4708610983456
1533807456,2009,East Bound,37.5629840177648,-77.4708610983456
1533807467,2009,East Bound,37.5629840177648,-77.4708610983456
1533807477,2009,East Bound,37.5629840177648,-77.4708610983456
1533807487,2009,East Bound,37.5629840177648,-77.4708610983456
1533807497,2009,East Bound,37.5629840177648,-77.4708610983456
1533807507,2009,East Bound,37.5613288879395,-77.4681701660156
1533807517,2009,East Bound,37.5613123022992,-77.4681436289912
1533807527,2009,East Bound,37.5608280016028,-77.4673506142437
1533807537,2009,East Bound,37.5608280016028,-77.4673506142437
1533807547,2009,East Bound,37.5608280016028,-77.4673506142437
1533807557,2009,East Bound,37.5608280016028,-77.4673506142437
1533807567,2009,East Bound,37.5591955473929,-77.4646634188565
1533807577,2009,East Bound,37.5591955473929,-77.4646634188565
1533807587,2009,East Bound,37.5591955473929,-77.4646634188565
1533807597,2009,East Bound,37.5591955473929,-77.4646634188565
1533807607,2009,East Bound,37.5591955473929,-77.4646634188565
1533807617,2009,East Bound,37.5591955473929,-77.4646634188565
1533807627,2009,East Bound,37.5575082693527,-77.4617508845543
1533807637,2009,East Bound,37.5575082693527,-77.4617508845543
1533807647,2009,East Bound,37.5575082693527,-77.4617508845543
1533807657,2009,East Bound,37.5569832075888,-77.4608741874125
1533807667,2009,East Bound,37.5569832075888,-77.4608741874125
1533807677,2009,East Bound,37.5569832075888,-77.4608741874125
1533807677,2002,West Bound,37.517692565918,-77.4140853881836
1533807687,2009,East Bound,37.5569832075888,-77.4608741874125
1533807687,2002,West Bound,37.517692565918,-77.4140853881836
1533807697,2009,East Bound,37.5569832075888,-77.4608741874125
1533807697,2002,West Bound,37.517692565918,-77.4140853881836
1533807707,2009,East Bound,37.5569832075888,-77.4608741874125
1533807707,2002,West Bound,37.517692565918,-77.4140853881836
1533807717,2009,East Bound,37.553994330807,-77.455887393675
1533807717,2002,West Bound,37.517692565918,-77.4140853881836
1533807727,2009,East Bound,37.553994330807,-77.455887393675
1533807727,2002,West Bound,37.517692565918,-77.4140853881836
1533807737,2009,East Bound,37.553994330807,-77.455887393675
1533807737,2002,West Bound,37.517692565918,-77.4140853881836
1533807747,2009,East Bound,37.553994330807,-77.455887393675
1533807747,2002,West Bound,37.5184707641602,-77.4143371582031
1533807757,2009,East Bound,37.553994330807,-77.455887393675
1533807757,2002,West Bound,37.5184707641602,-77.4143371582031
1533807767,2009,East Bound,37.553994330807,-77.455887393675
1533807767,2002,West Bound,37.5184707641602,-77.4143371582031
1533807777,2009,East Bound,37.5513100904577,-77.4513880785774
1533807777,2004,East Bound,37.5845794677734,-77.4972534179688
1533807777,2002,West Bound,37.5184707641602,-77.4143371582031
1533807787,2009,East Bound,37.5513100904577,-77.4513880785774
1533807787,2004,East Bound,37.5845794677734,-77.4972534179688
1533807787,2002,West Bound,37.5184707641602,-77.4143371582031
