x_epoch,rt,id,pd,lat,lon
1534240801,1A,912,South Bound,37.5368993123372,-77.430456161499
1534240801,1A,402,North Bound,37.5396423339844,-77.4317427925442
1534240801,1B,2210,South Bound,37.5008383664218,-77.4759563099254
1534240801,1A,250,South Bound,37.6053237915039,-77.4502563476562
1534240801,1B,257,North Bound,37.5083005936419,-77.463945482598
1534240801,1C,260,South Bound,37.569201529026,-77.4448418617249
1534240801,1A,266,North Bound,37.505989074707,-77.4987335205078
1534240801,1A,206,South Bound,37.5075187683105,-77.4940643310547
1534240801,1C,506,South Bound,37.4806874084473,-77.5115356445312
1534240811,1A,912,South Bound,37.5368993123372,-77.430456161499
1534240811,1A,402,North Bound,37.5396423339844,-77.4317427925442
1534240811,1B,2210,South Bound,37.5008383664218,-77.4759563099254
1534240811,1A,250,South Bound,37.6053237915039,-77.4502563476562
1534240811,1B,257,North Bound,37.5083005936419,-77.463945482598
1534240811,1C,260,South Bound,37.5677262010245,-77.4445585053543
1534240811,1A,266,North Bound,37.505989074707,-77.4987335205078
1534240811,1A,206,South Bound,37.5075187683105,-77.4940643310547
1534240811,1C,506,South Bound,37.4806874084473,-77.5115356445312
1534240822,1A,912,South Bound,37.5368993123372,-77.430456161499
1534240822,1A,402,North Bound,37.5407905578613,-77.4336166381836
1534240822,1B,2210,South Bound,37.5008383664218,-77.4759563099254
1534240822,1A,250,South Bound,37.6046050911519,-77.4504484489782
1534240822,1B,257,North Bound,37.5083005936419,-77.463945482598
1534240822,1C,260,South Bound,37.5677262010245,-77.4445585053543
1534240822,1A,266,North Bound,37.505989074707,-77.4987335205078
1534240822,1A,206,South Bound,37.5075187683105,-77.4940643310547
1534240822,1C,506,South Bound,37.4806874084473,-77.5115356445312
1534240831,1A,912,South Bound,37.5368993123372,-77.430456161499
1534240831,1A,402,North Bound,37.5407905578613,-77.4336166381836
1534240831,1B,2210,South Bound,37.5008383664218,-77.4759563099254
1534240831,1A,250,South Bound,37.6045810073169,-77.4504545980425
1534240831,1B,257,North Bound,37.5083005936419,-77.463945482598
1534240831,1C,260,South Bound,37.5677262010245,-77.4445585053543
1534240831,1A,266,North Bound,37.506014992209,-77.4986261479995
1534240831,1A,206,South Bound,37.5075187683105,-77.4940643310547
1534240831,1C,506,South Bound,37.4806874084473,-77.5115356445312
1534240842,1A,912,South Bound,37.5368993123372,-77.430456161499
1534240842,1A,402,North Bound,37.5407905578613,-77.4336166381836
1534240842,1B,2210,South Bound,37.5008383664218,-77.4759563099254
1534240842,1A,250,South Bound,37.6045810073169,-77.4504545980425
1534240842,1B,257,North Bound,37.5083005936419,-77.463945482598
1534240842,1C,260,South Bound,37.5677262010245,-77.4445585053543
1534240842,1A,266,North Bound,37.506014992209,-77.4986261479995
1534240842,1A,206,South Bound,37.5075187683105,-77.4940643310547
1534240842,1C,506,South Bound,37.4806874084473,-77.5115356445312
1534240852,1A,912,South Bound,37.5368993123372,-77.430456161499
1534240852,1A,402,North Bound,37.5408595976282,-77.4337547177174
1534240852,1B,2210,South Bound,37.5008383664218,-77.4759563099254
1534240852,1A,250,South Bound,37.6045810073169,-77.4504545980425
1534240852,1B,257,North Bound,37.5093395176219,-77.4623241139882
1534240852,1C,260,South Bound,37.5677262010245,-77.4445585053543
1534240852,1A,266,North Bound,37.506014992209,-77.4986261479995
1534240852,1A,206,South Bound,37.5075187683105,-77.4940643310547
1534240852,1C,506,South Bound,37.4806874084473,-77.5115356445312
1534240862,1A,912,South Bound,37.5350634256999,-77.432243347168
1534240862,1A,402,North Bound,37.5408595976282,-77.4337547177174
1534240862,1B,2210,South Bound,37.5008383664218,-77.4759563099254
1534240862,1A,250,South Bound,37.6045810073169,-77.4504545980425
1534240862,1B,257,North Bound,37.5093395176219,-77.4623241139882
1534240862,1C,260,South Bound,37.5677262010245,-77.4445585053543
1534240862,1A,266,North Bound,37.507474787095,-77.4937739652746
1534240862,1A,206,South Bound,37.5062103271484,-77.4994506835938
1534240862,1C,506,South Bound,37.4806874084473,-77.5115356445312
1534240872,1A,912,South Bound,37.5350634256999,-77.432243347168
1534240872,1A,402,North Bound,37.5408595976282,-77.4337547177174
1534240872,1B,2210,South Bound,37.5008383664218,-77.4759563099254
1534240872,1A,250,South Bound,37.6045810073169,-77.4504545980425
1534240872,1B,257,North Bound,37.5095451229908,-77.4620052400183
1534240872,1C,260,South Bound,37.5677262010245,-77.4445585053543
1534240872,1A,266,North Bound,37.507474787095,-77.4937739652746
1534240872,1A,206,South Bound,37.5062103271484,-77.4994506835938
1534240872,1C,506,South Bound,37.4806874084473,-77.5115356445312
1534240882,1A,912,South Bound,37.5350634256999,-77.432243347168
1534240882,1A,402,North Bound,37.5408595976282,-77.4337547177174
1534240882,1B,2210,South Bound,37.5008383664218,-77.4759563099254
1534240882,1A,250,South Bound,37.6016224947843,-77.45026883212
1534240882,1B,257,North Bound,37.5095451229908,-77.4620052400183
1534240882,1C,260,South Bound,37.5677262010245,-77.4445585053543
1534240882,1A,266,North Bound,37.507474787095,-77.4937739652746
1534240882,1A,206,South Bound,37.5062103271484,-77.4994506835938
1534240882,1C,506,South Bound,37.4806874084473,-77.5115356445312
1534240892,1A,912,South Bound,37.5350634256999,-77.432243347168
1534240892,1A,402,North Bound,37.5408595976282,-77.4337547177174
1534240892,1B,2210,South Bound,37.5008383664218,-77.4759563099254
1534240892,1A,250,South Bound,37.6016224947843,-77.45026883212
1534240892,1B,257,North Bound,37.5095451229908,-77.4620052400183
1534240892,1C,260,South Bound,37.5677262010245,-77.4445585053543
1534240892,1A,266,North Bound,37.5084257125854,-77.4894905090332
1534240892,1A,206,South Bound,37.5055465698242,-77.5031356811523
1534240892,1C,506,South Bound,37.4806874084473,-77.5115356445312
