x_epoch,id,pd,lat,lon
1535760006,2001,"East Bound",37.54478543996811,-77.44063889980316
1535760006,2010,"East Bound",37.54098975658417,-77.43427848815918
1535760006,2009,"East Bound",37.55070114135742,-77.45032501220703
1535760006,2007,"West Bound",37.54102480853045,-77.4341328938802
1535760006,2006,"West Bound",37.5503742383874,-77.44974075538525
1535760016,2001,"East Bound",37.54478543996811,-77.44063889980316
1535760016,2010,"East Bound",37.54098975658417,-77.43427848815918
1535760016,2009,"East Bound",37.55070114135742,-77.45032501220703
1535760016,2007,"West Bound",37.54102480853045,-77.4341328938802
1535760016,2006,"West Bound",37.551234563191734,-77.45121256510417
1535760026,2001,"East Bound",37.54478543996811,-77.44063889980316
1535760026,2010,"East Bound",37.54098975658417,-77.43427848815918
1535760026,2009,"East Bound",37.55070114135742,-77.45032501220703
1535760026,2007,"West Bound",37.54191106557846,-77.43558597564697
1535760026,2006,"West Bound",37.551234563191734,-77.45121256510417
1535760036,2001,"East Bound",37.54478543996811,-77.44063889980316
1535760036,2010,"East Bound",37.54079918494591,-77.43395338792067
1535760036,2009,"East Bound",37.55070114135742,-77.45032501220703
1535760036,2007,"West Bound",37.54191106557846,-77.43558597564697
1535760036,2006,"West Bound",37.55128780488045,-77.45129320698399
1535760046,2001,"East Bound",37.54478543996811,-77.44063889980316
1535760046,2010,"East Bound",37.5404292179988,-77.43334644024189
1535760046,2009,"East Bound",37.55070114135742,-77.45032501220703
1535760046,2007,"West Bound",37.54191106557846,-77.43558597564697
1535760046,2006,"West Bound",37.55128780488045,-77.45129320698399
1535760056,2001,"East Bound",37.54478543996811,-77.44063889980316
1535760056,2010,"East Bound",37.5404292179988,-77.43334644024189
1535760056,2009,"East Bound",37.549258531842916,-77.44791848318917
1535760056,2007,"West Bound",37.54191106557846,-77.43558597564697
1535760056,2006,"West Bound",37.55128780488045,-77.45129320698399
1535760066,2001,"East Bound",37.54293538563287,-77.43756001031221
1535760066,2010,"East Bound",37.5404292179988,-77.43334644024189
1535760066,2009,"East Bound",37.549258531842916,-77.44791848318917
1535760066,2007,"West Bound",37.54283728966346,-77.43712762685922
1535760066,2006,"West Bound",37.551722495786606,-77.45201824557397
1535760076,2001,"East Bound",37.542736508953034,-77.43723217409048
1535760076,2010,"East Bound",37.5404292179988,-77.43334644024189
1535760076,2009,"East Bound",37.549258531842916,-77.44791848318917
1535760076,2007,"West Bound",37.54283728966346,-77.43712762685922
1535760076,2006,"West Bound",37.551722495786606,-77.45201824557397
1535760086,2001,"East Bound",37.542736508953034,-77.43723217409048
1535760086,2010,"East Bound",37.5404292179988,-77.43334644024189
1535760086,2009,"East Bound",37.549258531842916,-77.44791848318917
1535760086,2007,"West Bound",37.54283728966346,-77.43712762685922
1535760086,2006,"West Bound",37.551722495786606,-77.45201824557397
1535760096,2001,"East Bound",37.542736508953034,-77.43723217409048
1535760096,2010,"East Bound",37.53943077462618,-77.43169165439294
1535760096,2009,"East Bound",37.549258531842916,-77.44791848318917
1535760096,2007,"West Bound",37.54283728966346,-77.43712762685922
1535760096,2006,"West Bound",37.551722495786606,-77.45201824557397
1535760106,2001,"East Bound",37.542736508953034,-77.43723217409048
1535760106,2010,"East Bound",37.53943077462618,-77.43169165439294
1535760106,2009,"East Bound",37.549258531842916,-77.44791848318917
1535760106,2007,"West Bound",37.54283728966346,-77.43712762685922
1535760106,2006,"West Bound",37.551722495786606,-77.45201824557397
1535760116,2001,"East Bound",37.542736508953034,-77.43723217409048
1535760116,2010,"East Bound",37.53943077462618,-77.43169165439294
1535760116,2009,"East Bound",37.549258531842916,-77.44791848318917
1535760116,2007,"West Bound",37.54283728966346,-77.43712762685922
1535760116,2006,"West Bound",37.551722495786606,-77.45201824557397
1535760126,2001,"East Bound",37.54100102186203,-77.43429851531982
1535760126,2010,"East Bound",37.53943077462618,-77.43169165439294
1535760126,2009,"East Bound",37.549258531842916,-77.44791848318917
1535760126,2007,"West Bound",37.54426829020182,-77.43951161702473
1535760126,2006,"West Bound",37.551722495786606,-77.45201824557397
1535760136,2001,"East Bound",37.54100102186203,-77.43429851531982
1535760136,2010,"East Bound",37.53893045278696,-77.4308589054988
1535760136,2009,"East Bound",37.549258531842916,-77.44791848318917
1535760136,2007,"West Bound",37.54431406656901,-77.4396103752984
1535760136,2006,"West Bound",37.55379996761199,-77.4554930656187
1535760146,2001,"East Bound",37.54100102186203,-77.43429851531982
1535760146,2010,"East Bound",37.53893045278696,-77.4308589054988
1535760146,2009,"East Bound",37.549258531842916,-77.44791848318917
1535760146,2007,"West Bound",37.54431406656901,-77.4396103752984
1535760146,2006,"West Bound",37.55379996761199,-77.4554930656187
1535760156,2001,"East Bound",37.54100102186203,-77.43429851531982
1535760156,2010,"East Bound",37.53893045278696,-77.4308589054988
1535760156,2009,"East Bound",37.547396839528844,-77.44493125141531
1535760156,2007,"West Bound",37.54431406656901,-77.4396103752984
1535760156,2006,"West Bound",37.55379996761199,-77.4554930656187
1535760166,2001,"East Bound",37.54100102186203,-77.43429851531982
1535760166,2010,"East Bound",37.53893045278696,-77.4308589054988
1535760166,2009,"East Bound",37.547396839528844,-77.44493125141531
1535760166,2007,"West Bound",37.54431406656901,-77.4396103752984
1535760166,2006,"West Bound",37.55379996761199,-77.4554930656187
1535760176,2001,"East Bound",37.54100102186203,-77.43429851531982
1535760176,2010,"East Bound",37.53893045278696,-77.4308589054988
1535760176,2009,"East Bound",37.547396839528844,-77.44493125141531
1535760176,2007,"West Bound",37.54431406656901,-77.4396103752984
