x_epoch,id,rt,pd,lat,lon
1538865478,2001,PULSE,"West Bound",37.52957257357511,-77.42217300877427
1538865478,2010,PULSE,"East Bound",37.54080088688777,-77.43395608755259
1538865478,2008,PULSE,"West Bound",37.56774470385383,-77.47670835607192
1538865478,2007,PULSE,"West Bound",37.54427719116211,-77.43950271606445
1538865478,2005,PULSE,"East Bound",37.526649544455786,-77.41873307661577
1538865478,2002,PULSE,"West Bound",37.54438018798828,-77.43971506754558
1538865488,2001,PULSE,"West Bound",37.53005253184926,-77.42293652621183
1538865488,2010,PULSE,"East Bound",37.54080088688777,-77.43395608755259
1538865488,2008,PULSE,"West Bound",37.5731556632302,-77.48312065818094
1538865488,2007,PULSE,"West Bound",37.54427719116211,-77.43950271606445
1538865488,2005,PULSE,"East Bound",37.526649544455786,-77.41873307661577
1538865488,2002,PULSE,"West Bound",37.544388665093315,-77.43972848962855
1538865498,2001,PULSE,"West Bound",37.53041024641557,-77.42352919145064
1538865498,2010,PULSE,"East Bound",37.54080088688777,-77.43395608755259
1538865498,2008,PULSE,"West Bound",37.5731556632302,-77.48312065818094
1538865498,2007,PULSE,"West Bound",37.54427719116211,-77.43950271606445
1538865498,2005,PULSE,"East Bound",37.526649544455786,-77.41873307661577
1538865498,2002,PULSE,"West Bound",37.544388665093315,-77.43972848962855
1538865508,2001,PULSE,"West Bound",37.53041024641557,-77.42352919145064
1538865508,2010,PULSE,"East Bound",37.54080088688777,-77.43395608755259
1538865508,2008,PULSE,"West Bound",37.5731556632302,-77.48312065818094
1538865508,2007,PULSE,"West Bound",37.54427719116211,-77.43950271606445
1538865508,2005,PULSE,"East Bound",37.526649544455786,-77.41873307661577
1538865508,2002,PULSE,"West Bound",37.544388665093315,-77.43972848962855
1538865518,2001,PULSE,"West Bound",37.53041024641557,-77.42352919145064
1538865518,2010,PULSE,"East Bound",37.54041935847356,-77.43333024245042
1538865518,2008,PULSE,"West Bound",37.5731556632302,-77.48312065818094
1538865518,2007,PULSE,"West Bound",37.54427719116211,-77.43950271606445
1538865518,2005,PULSE,"East Bound",37.52157211303711,-77.41629721901633
1538865518,2002,PULSE,"West Bound",37.544388665093315,-77.43972848962855
1538865528,2001,PULSE,"West Bound",37.53041024641557,-77.42352919145064
1538865528,2010,PULSE,"East Bound",37.54041935847356,-77.43333024245042
1538865528,2008,PULSE,"West Bound",37.5731556632302,-77.48312065818094
1538865528,2007,PULSE,"West Bound",37.54427719116211,-77.43950271606445
1538865528,2005,PULSE,"East Bound",37.52105373806424,-77.41603385077582
1538865528,2002,PULSE,"West Bound",37.544388665093315,-77.43972848962855
1538865538,2001,PULSE,"West Bound",37.53041024641557,-77.42352919145064
1538865538,2010,PULSE,"East Bound",37.54041935847356,-77.43333024245042
1538865538,2008,PULSE,"West Bound",37.5731556632302,-77.48312065818094
1538865538,2007,PULSE,"West Bound",37.54427719116211,-77.43950271606445
1538865538,2005,PULSE,"East Bound",37.520781411064995,-77.41594356960721
1538865538,2002,PULSE,"West Bound",37.544388665093315,-77.43972848962855
1538865548,2001,PULSE,"West Bound",37.53195550306788,-77.42606281784346
1538865548,2010,PULSE,"East Bound",37.54041935847356,-77.43333024245042
1538865548,2008,PULSE,"West Bound",37.5731556632302,-77.48312065818094
1538865548,2007,PULSE,"West Bound",37.54427719116211,-77.43950271606445
1538865548,2005,PULSE,"East Bound",37.520781411064995,-77.41594356960721
1538865548,2002,PULSE,"West Bound",37.544388665093315,-77.43972848962855
1538865558,2001,PULSE,"West Bound",37.53195550306788,-77.42606281784346
1538865558,2010,PULSE,"East Bound",37.54041935847356,-77.43333024245042
1538865558,2008,PULSE,"West Bound",37.5731556632302,-77.48312065818094
1538865558,2007,PULSE,"West Bound",37.54427719116211,-77.43950271606445
1538865558,2005,PULSE,"East Bound",37.520781411064995,-77.41594356960721
1538865558,2002,PULSE,"West Bound",37.544388665093315,-77.43972848962855
1538865568,2001,PULSE,"West Bound",37.53195550306788,-77.42606281784346
1538865568,2010,PULSE,"East Bound",37.54041935847356,-77.43333024245042
1538865568,2008,PULSE,"West Bound",37.5731556632302,-77.48312065818094
1538865568,2007,PULSE,"West Bound",37.54427719116211,-77.43950271606445
1538865568,2005,PULSE,"East Bound",37.520781411064995,-77.41594356960721
1538865568,2002,PULSE,"West Bound",37.544388665093315,-77.43972848962855
1538865578,2001,PULSE,"West Bound",37.53195550306788,-77.42606281784346
1538865578,2010,PULSE,"East Bound",37.539102323127516,-77.43113985928622
1538865578,2008,PULSE,"West Bound",37.5731556632302,-77.48312065818094
1538865578,2007,PULSE,"West Bound",37.54427719116211,-77.43950271606445
1538865578,2005,PULSE,"East Bound",37.518483088566704,-77.415770310622
1538865578,2002,PULSE,"West Bound",37.544388665093315,-77.43972848962855
1538865588,2001,PULSE,"West Bound",37.53195550306788,-77.42606281784346
1538865588,2010,PULSE,"East Bound",37.53892364501953,-77.43084716796875
1538865588,2008,PULSE,"West Bound",37.579352124532065,-77.49060567220052
1538865588,2007,PULSE,"West Bound",37.54427719116211,-77.43950271606445
1538865588,2005,PULSE,"East Bound",37.518483088566704,-77.415770310622
1538865588,2002,PULSE,"West Bound",37.54455614089966,-77.44000732898712
1538865598,2001,PULSE,"West Bound",37.53195550306788,-77.42606281784346
1538865598,2010,PULSE,"East Bound",37.53892364501953,-77.43084716796875
1538865598,2008,PULSE,"West Bound",37.579352124532065,-77.49060567220052
1538865598,2007,PULSE,"West Bound",37.54427719116211,-77.43950271606445
1538865598,2005,PULSE,"East Bound",37.518483088566704,-77.415770310622
